Date,Squat_PR,Deadlift_PR,Sumo_PR,Bench_Press_PR,Pull_Up_PR,Chest_Total_Volume,Back_Total_Volume,Legs_Total_Total
05/01,127,,,,,,,7400
05/02,,,,72,,6175,,
05/03,,,,,81,,6066,
05/04,,,,,,,,
05/05,,,,,,,,
05/06,127,,,,,,,7780
05/07,,,,86,,7250,,
05/08,,,,,,,,
05/09,,,,,,,,
05/10,,74,,,,,,2400
05/11,,,,,,,,
05/12,,,,,,,,
05/13,,,,,84,,3726,
05/14,,,,,,,,
05/15,,,,,,,,
05/16,106,,90,,,,,6960
05/17,,,,,,,,
05/18,,,,,,,,
05/19,,,,,84,,4786,
05/20,,,,,,,,
05/21,,,,,,,,
05/22,,,,,,,,
05/23,,,,,,,,
05/24,127,,72,,,,,7800
05/25,,,,,,,,
05/26,,,,,,,,
05/27,,,,86,,6245,,
05/28,,,,,85,,6949,
05/29,,,,,,,,
05/30,,,,,,,,
05/31,,,,,,,,
06/01,,,,,,,,
06/02,,,,,,,,
06/03,,,,,,,,
06/04,106,,132,,,,,7050
06/05,,,,,,,,
06/06,,,,,,,,
06/07,,,,,,,,
06/08,,,,,,,,
06/09,,,,,,,,
06/10,,,,,,,,
06/11,113,98,98,,,,1600,5670
06/12,,,,,,,,
06/13,,,,,,,,
06/14,,,,,,,,
06/15,,,,,,,,
06/16,,,,,,,,
06/17,,,,,,,,
06/18,,,,,,,,
06/19,,,,,,,,
06/20,,,,,,,,
06/21,,,,,,,,
06/22,,,,86,,5445,,
06/23,,,,,,,,
06/24,,,,,90,,5660,
06/25,113,98,98,,,,,8260
06/26,,,,,,,,
06/27,,,,,,,,
06/28,,,,86,,5555,,
06/29,113,109,109,,,,,9640
06/30,,,,,,,,
07/01,,,,,90,,6610,
07/02,,,,68,,5895,,
07/03,,,,,,,,
07/04,,,,,,,,
07/05,,,,,,,,
07/06,116,120,120,,,,,10930
07/07,,,,,,,,
07/08,,,,74,,6165,,
07/09,,,,,90,,6710,
07/10,,,,,,,,
07/11,,,,,,,,
07/12,,,,,,,,
07/13,,,,,,,,
07/14,,,,,,,,
07/15,120,120,120,,,,,11110
07/16,,,,74,,7625,,
07/17,,,,,,,,
07/18,,,,,90,,6830,
07/19,,,,,,,,
07/20,,,,,,,,
07/21,,,,,,,,
07/22,,,,,,,,
07/23,,,140,,,,,6735
07/24,,,,,,,,
07/25,,,,,,,,
07/26,,,,,,,,
07/27,,,,81,,6275,,
07/28,,,,,,,,
07/29,,,,,90,,7395,
07/30,124,120,134,,,,,12760
07/31,,,,,,,,
08/01,,,,,,,,
08/02,,,,,,,,
08/03,,,,81,,5615,,
08/04,,,,,,,7215,
08/05,,,,,87,,,
08/06,,,,,,,,
08/07,,,,,,,,
08/08,,,,,,,,
08/09,,,,,,,,
08/10,,,,76,,5600,,
08/11,,,,,,,,
08/12,,,,,,,,
08/13,124,120,142,,,,,11440
08/14,,,,,,,,
08/15,,,,,,,,
08/16,,,,,,,,
08/17,,,,,,,,
08/18,,,,,87,,7325,
08/19,,,,76,,5890,,
08/20,,120,142,,,,,11515
08/21,,,,,,,,
08/22,,,,,,,,
08/23,,,,,93,,5980,
08/24,,,,,,,,
08/25,,,,,,,,
08/26,,,,80,,6280,,
08/27,,,,,,,,
08/28,,,,,,,,
08/29,,,,,,,,
08/30,,,,,,,,
08/31,,120,142,,,,,12630
09/01,,,,,,,,
09/02,,,,,90,,5750,
09/03,,,,,,,,
09/04,,,,63,,4940,,
09/05,,,,,,,,
09/06,,,,,,,,
09/07,,,,,,,,
09/08,,,,,,,,
09/09,,,,,90,,7640,
09/10,,,,73,,5265,,
09/11,,,,,,,,
09/12,,,,,,,,
09/13,,,,,,,,
09/14,,,,,,,,
09/15,,,,,,,,
09/16,,98,,,93,,5100,1930
09/17,,,,79,,4940,,
09/18,,,,,,,,
09/19,,,,,,,,
09/20,,,,,,,,
09/21,,,,,,,,
09/22,,,,,,,,
09/23,,,,,,4910,,1850
09/24,113,,,68,,,,
09/25,,,,,,,,
09/26,,,,,,,,
09/27,,104,,,93,,5640,1800
09/28,,,,73,,7933,,6223
09/29,,,,,,,,
09/30,,,124,,,,,10050
10/01,,,,,98,,8045,
10/02,,,,,,,,
10/03,,,,,,,,
10/04,,,,,,,,
10/05,,,,,,,,
10/06,,,,,,,,
10/07,,,,,,,,
10/08,,,,,,,,
10/09,,,,,,,,
10/10,113,,,,,,,9307
10/11,,,,,96,,7760,
10/12,,,,,,,,
10/13,,,,73,,1300,1280,
10/14,,,,72,,6051,,
10/15,,,,,84,,6180,
10/16,,,,,,,,
10/17,,,,,,,,
10/18,,,,,,,,
10/19,,,,,,,,
10/20,,101,,,,,1560,1350
10/21,,,,76,,6848,,
10/22,,,135,,84,,7260,2650
10/23,,,,,,,,
10/24,,,,,,,,10083
10/25,,,,,,,,
10/26,,,,,,,,
10/27,,,,,,,,
10/28,,,,,,,,
10/29,,107,,72,93,1800,5042,
10/30,,,,,,,,
10/31,,,,,,,,
