Date,Weight,Muscle_Mass,Body_Fat,Body_Fat_Percentage,BMI,Visceral_Fat
05/09,67.2,28.5,16.1,23.9,25.3,6
05/10,66.9,28.3,16.4,24.5,25.2,6
05/11,66.7,27.9,16.9,25.4,25.1,6
05/12,66.7,28.7,15.6,23.4,25.1,6
05/13,,,,,,
05/14,67.8,28.1,17.8,26.2,25.5,7
05/15,67.3,28.9,15.8,23.5,25.3,6
05/16,,,,,,
05/17,66.7,27.8,17.1,25.7,25.1,7
05/18,67.3,29.2,15.4,22.9,25.3,6
05/19,,,,,,
05/20,,,,,,
05/21,,,,,,
05/22,67.3,28.4,16.6,24.6,25.3,7
05/23,,,,,,
05/24,66.9,27.1,18.4,27.5,25.2,7
05/25,66.9,27.6,17.5,26.2,25.2,7
05/26,66.7,28.1,16.7,25,25.1,6
05/27,,,,,,
05/28,66.7,28.1,16.7,25,25.1,6
05/29,67.5,28.9,16.1,23.9,25.4,6
05/30,,,,,,
05/31,,,,,,
06/01,67.3,28.3,16.9,25.1,25.3,6
06/02,67.1,28,17.2,25.6,25.3,7
06/03,,,,,,
06/04,,,,,,
06/05,,,,,,
06/06,,,,,,
06/07,,,,,,
06/08,67.1,28,17,25.3,25.3,6
06/09,,,,,,
06/10,65.9,26.8,17.9,27.2,24.8,7
06/11,,,,,,
06/12,,,,,,
06/13,,,,,,
06/14,,,,,,
06/15,66.3,27.7,16.9,25.5,25,6
06/16,,,,,,
06/17,,,,,,
06/18,,,,,,
06/19,65.3,27.1,16.8,25.8,24.6,6
06/20,65.4,26.8,17.5,26.7,24.6,7
06/21,,,,,,
06/22,64.6,27.1,16.3,25.2,24.3,6
06/23,64.5,27.2,16,24.8,24.3,6
06/24,65.3,27,16.9,25.9,24.6,7
06/25,,,,,,
06/26,65.4,27.3,16.5,25.3,24.6,7
06/27,,,,,,
06/28,65.3,27.6,15.9,24.4,24.6,6
06/29,65.4,27.3,16.6,25.4,24.6,6
06/30,64.9,27.8,15.3,23.5,24.4,6
07/01,,,,,,
07/02,65.2,27.2,16.4,25.2,24.5,6
07/03,65.1,27.6,15.8,24.2,24.5,6
07/04,64.6,26.6,16.9,26.2,24.3,7
07/05,64.4,27.1,16,24.8,24.2,6
07/06,64.6,26.7,16.9,26.1,24.3,7
07/07,64.7,27.2,16,24.7,24.4,6
07/08,64.2,27.1,15.7,24.5,24.2,6
07/09,64.4,26.8,16.3,25.3,24.2,6
07/10,64.9,27.4,15.9,24.5,24.4,6
07/11,64.2,27.1,15.7,24.5,24.2,6
